Wall time,Step,Value
1670480616.3144126,2048,88.86363983154297
1670480620.1228807,4096,92.0227279663086
1670480624.4875228,6144,94.38461303710938
1670480628.0841563,8192,95.92941284179688
1670480632.1808712,10240,97.22000122070312
1670480636.4594479,12288,101.45999908447266
1670480640.5073369,14336,103.01000213623047
1670480645.0618622,16384,109.31999969482422
1670480649.0550742,18432,110.98999786376953
1670480653.0827978,20480,118.20999908447266
1670480657.2250352,22528,124.08000183105469
1670480662.694323,24576,130.25
1670480667.8071303,26624,135.55999755859375
1670480674.1387393,28672,155.25
1670480678.9548404,30720,166.57000732421875
1670480683.4903905,32768,175.6199951171875
1670480688.8591645,34816,187.27999877929688
1670480693.4104407,36864,195.19000244140625
1670480698.2884917,38912,206.3699951171875
1670480703.963309,40960,216.85000610351562
1670480709.275906,43008,221.69000244140625
1670480715.5596974,45056,241.86000061035156
1670480721.0654557,47104,252.27999877929688
1670480726.0264935,49152,266.20001220703125
1670480730.2228405,51200,270.67999267578125
1670480735.2892275,53248,284.260009765625
1670480741.452184,55296,299.25
1670480748.0857446,57344,309.989990234375
1670480754.2588224,59392,321.29998779296875
1670480759.8411286,61440,326.69000244140625
1670480765.1194618,63488,341.8900146484375
1670480770.2783368,65536,347.7799987792969
1670480776.64201,67584,365.5299987792969
1670480784.5803168,69632,382.0299987792969
1670480790.855649,71680,397.3500061035156
1670480796.4897668,73728,414.54998779296875
1670480801.8806973,75776,429.0
1670480807.4160264,77824,443.489990234375
1670480812.3505795,79872,462.1700134277344
1670480818.2071283,81920,469.79998779296875
1670480824.308787,83968,480.3999938964844
1670480830.3772092,86016,504.7799987792969
1670480836.127104,88064,520.9400024414062
1670480841.8519096,90112,532.8900146484375
1670480847.5952768,92160,551.7999877929688
1670480852.780323,94208,563.0499877929688
1670480858.9856582,96256,579.4299926757812
1670480864.8969939,98304,595.4000244140625
1670480870.8837922,100352,611.2100219726562
1670480875.827398,102400,629.3499755859375
1670480880.8718026,104448,644.5999755859375
1670480885.9488823,106496,652.8400268554688
1670480890.9214394,108544,663.6500244140625
1670480896.6058514,110592,682.4199829101562
1670480903.5239575,112640,684.4299926757812
1670480908.8924766,114688,695.3800048828125
1670480914.2625484,116736,712.0800170898438
1670480919.4386866,118784,718.030029296875
1670480924.3898976,120832,723.6500244140625
1670480929.2101796,122880,735.0
1670480934.0787756,124928,746.530029296875
1670480938.9693336,126976,759.239990234375
1670480943.3791313,129024,771.5399780273438
1670480948.9181511,131072,778.3099975585938
1670480953.6770923,133120,784.4600219726562
1670480958.1570501,135168,782.9099731445312
1670480963.2101176,137216,778.6400146484375
1670480967.9063935,139264,783.3800048828125
1670480973.4738998,141312,782.9400024414062
1670480979.3538573,143360,788.8800048828125
1670480984.2622652,145408,788.5
1670480989.3675883,147456,781.1400146484375
1670480994.0589714,149504,753.969970703125
1670480998.7059884,151552,743.9500122070312
1670481004.0021074,153600,737.239990234375
1670481010.0854971,155648,736.3599853515625
1670481014.8634148,157696,724.0999755859375
1670481019.90184,159744,714.3200073242188
1670481024.4258575,161792,702.280029296875
1670481029.1350718,163840,699.9199829101562
1670481034.1575959,165888,685.6500244140625
1670481040.0183702,167936,680.4000244140625
1670481046.4798179,169984,686.0399780273438
1670481051.5309412,172032,675.7000122070312
1670481056.6879992,174080,675.6799926757812
1670481061.3077695,176128,661.1400146484375
1670481066.335993,178176,658.3300170898438
1670481072.186374,180224,645.7000122070312
1670481077.859327,182272,638.0
1670481082.940055,184320,639.280029296875
1670481088.4655993,186368,652.760009765625
1670481094.633612,188416,658.0900268554688
1670481099.7745795,190464,656.8499755859375
1670481105.0437043,192512,651.9099731445312
1670481111.2944236,194560,658.6599731445312
1670481118.3195243,196608,665.75
1670481123.8412929,198656,660.5599975585938
1670481128.8534222,200704,660.1500244140625
1670481133.5119064,202752,660.530029296875
1670481138.6740923,204800,652.3699951171875
1670481144.6445196,206848,652.5999755859375
1670481150.7590766,208896,654.010009765625
1670481155.1780581,210944,647.4500122070312
1670481159.5597022,212992,642.469970703125
1670481165.0626416,215040,639.1599731445312
1670481169.810734,217088,643.97998046875
1670481175.3068633,219136,649.030029296875
1670481180.2579033,221184,644.280029296875
1670481185.1797414,223232,647.9000244140625
1670481190.8699503,225280,650.3699951171875
1670481196.008033,227328,643.6599731445312
1670481200.7985444,229376,640.9600219726562
1670481205.7155755,231424,626.7899780273438
1670481211.1399524,233472,623.280029296875
1670481216.613608,235520,616.8699951171875
